Especie,Breed,Age (Years),Weight (kg),Gender
Cachorro,Samoyed,14,23.9,Female
Cachorro,Belgian Malinois,12,25.6,Male
Cachorro,Bulldog,2,21.3,Female
Cachorro,Pekingese,5,4.0,Female
Cachorro,Bichon Frise,8,7.1,Male
Cachorro,Doberman Pinscher,11,34.7,Female
Cachorro,Saint Bernard,7,77.1,Female
Cachorro,Golden Retriever,5,33.9,Male
Cachorro,Boston Terrier,6,6.1,Female
Cachorro,Samoyed,7,22.7,Female
Cachorro,Australian Shepherd,1,23.8,Female
Cachorro,Weimaraner,5,33.6,Male
Cachorro,Belgian Malinois,14,25.7,Male
Cachorro,Bulldog,10,20.6,Male
Cachorro,Rottweiler,4,56.4,Male
Cachorro,Whippet,8,13.5,Female
Cachorro,Shih Tzu,1,6.0,Female
Cachorro,Cavalier King Charles Spaniel,1,7.0,Male
Cachorro,Samoyed,9,24.9,Female
Cachorro,Havanese,4,3.8,Female
Cachorro,Akita,7,45.9,Female
Cachorro,Saint Bernard,6,69.2,Male
Cachorro,Boxer,13,27.5,Female
Cachorro,Border Collie,8,16.2,Female
Cachorro,Border Collie,4,19.6,Male
Cachorro,Pomeranian,14,3.3,Male
Cachorro,Siberian Husky,3,16.3,Female
Cachorro,Australian Shepherd,9,19.9,Female
Cachorro,Akita,2,32.9,Female
Cachorro,Border Collie,4,12.6,Female
Cachorro,Chinese Shar-Pei,9,23.3,Female
Cachorro,Bloodhound,12,42.5,Female
Cachorro,Irish Setter,14,28.0,Female
Cachorro,Pug,4,7.8,Male
Cachorro,Jack Russell Terrier,13,7.7,Male
Cachorro,Basenji,12,10.7,Male
Cachorro,Labrador Retriever,6,29.2,Male
Cachorro,Dachshund,2,11.0,Male
Cachorro,Pembroke Welsh Corgi,3,11.6,Female
Cachorro,Shih Tzu,11,5.8,Female
Cachorro,Rottweiler,12,35.1,Female
Cachorro,Cavalier King Charles Spaniel,12,7.1,Male
Cachorro,Beagle,7,13.0,Male
Cachorro,Samoyed,4,16.3,Female
Cachorro,Dogo Argentino,3,37.6,Female
Cachorro,Cavalier King Charles Spaniel,14,6.7,Female
Cachorro,Australian Shepherd,6,23.0,Female
Cachorro,Belgian Malinois,4,20.8,Female
Cachorro,Bloodhound,6,43.8,Female
Cachorro,Dogo Argentino,13,37.3,Female
Cachorro,Alaskan Malamute,12,39.0,Female
Cachorro,Miniature Schnauzer,2,7.2,Male
Cachorro,Rottweiler,10,44.6,Female
Cachorro,Great Dane,11,72.4,Male
Cachorro,German Shepherd,2,31.5,Male
Cachorro,Belgian Malinois,11,28.4,Female
Cachorro,Golden Retriever,6,26.1,Female
Cachorro,Whippet,10,11.4,Female
Cachorro,Great Dane,11,55.0,Female
Cachorro,Chihuahua,9,2.7,Male
Cachorro,Vizsla,10,28.7,Male
Cachorro,Bichon Frise,14,8.0,Male
Cachorro,Weimaraner,4,33.1,Male
Cachorro,Schnauzer,3,15.6,Female
Cachorro,Pekingese,3,4.5,Male
Cachorro,Whippet,5,14.0,Female
Cachorro,Irish Setter,8,29.2,Female
Cachorro,Pekingese,9,4.6,Female
Cachorro,Whippet,9,16.9,Male
Cachorro,Chesapeake Bay Retriever,6,27.8,Female
Cachorro,Siberian Husky,6,22.5,Female
Cachorro,Shiba Inu,4,9.0,Female
Cachorro,Belgian Malinois,11,19.6,Female
Cachorro,Pug,8,6.5,Female
Cachorro,Golden Retriever,7,28.5,Male
Cachorro,Yorkshire Terrier,1,2.6,Male
Cachorro,Chinese Shar-Pei,9,22.3,Male
Cachorro,Dachshund,13,9.4,Female
Cachorro,Lhasa Apso,6,7.3,Male
Cachorro,Border Collie,12,13.8,Female
Cachorro,Bichon Frise,6,5.8,Female
Cachorro,German Shepherd,4,39.5,Male
Cachorro,Labrador Retriever,9,34.2,Male
Cachorro,Poodle,10,28.4,Male
Cachorro,Maltese,13,3.2,Female
Cachorro,Akita,10,47.7,Female
Cachorro,Australian Shepherd,8,24.0,Male
Cachorro,French Bulldog,5,9.1,Female
Cachorro,Irish Setter,8,28.7,Female
Cachorro,Vizsla,2,23.4,Female
Cachorro,Alaskan Malamute,4,41.5,Male
Cachorro,Cocker Spaniel,14,11.1,Female
Cachorro,Maltese,14,3.8,Male
Cachorro,Beagle,6,11.7,Male
Cachorro,Boston Terrier,11,5.9,Female
Cachorro,Beagle,12,11.8,Male
Cachorro,Great Dane,9,49.5,Female
Cachorro,Chinese Shar-Pei,10,24.8,Female
Cachorro,Beagle,6,9.9,Female
Cachorro,Golden Retriever,9,28.3,Female
Cachorro,Great Dane,8,83.9,Male
Cachorro,Great Dane,4,83.7,Male
Cachorro,Bloodhound,6,44.9,Male
Cachorro,Vizsla,10,23.1,Female
Cachorro,Poodle,13,32.0,Male
Cachorro,Samoyed,7,22.1,Female
Cachorro,Boxer,11,31.2,Male
Cachorro,Weimaraner,6,33.8,Female
Cachorro,Shih Tzu,12,6.8,Male
Cachorro,Shetland Sheepdog,4,6.7,Female
Cachorro,Schnauzer,3,18.3,Male
Cachorro,Doberman Pinscher,4,28.2,Female
Cachorro,Saint Bernard,10,82.1,Male
Cachorro,Samoyed,2,24.7,Female
Cachorro,Chinese Shar-Pei,12,22.0,Female
Cachorro,Yorkshire Terrier,7,2.8,Male
Cachorro,Bernese Mountain Dog,10,32.5,Female
Cachorro,Shetland Sheepdog,4,11.8,Male
Cachorro,Samoyed,8,21.8,Male
Cachorro,Vizsla,8,20.3,Female
Cachorro,Pomeranian,6,1.8,Female
Cachorro,Pug,12,6.8,Male
Cachorro,Bernese Mountain Dog,13,44.9,Male
Cachorro,Irish Setter,3,26.7,Female
Cachorro,Vizsla,2,25.5,Male
Cachorro,German Shepherd,11,28.9,Male
Cachorro,Poodle,8,25.1,Male
Cachorro,Beagle,6,10.2,Female
Cachorro,Siberian Husky,13,16.4,Female
Cachorro,Border Collie,1,18.4,Male
Cachorro,Dachshund,4,8.1,Female
Cachorro,Chihuahua,8,2.3,Male
Cachorro,Yorkshire Terrier,2,2.7,Male
Cachorro,Rottweiler,1,41.8,Female
Cachorro,Samoyed,9,20.9,Male
Cachorro,Poodle,2,25.1,Male
Cachorro,Jack Russell Terrier,8,7.1,Female
Cachorro,West Highland White Terrier,14,7.4,Male
Cachorro,French Bulldog,8,11.4,Male
Cachorro,Dachshund,7,12.3,Male
Cachorro,Whippet,1,15.5,Male
Cachorro,Bichon Frise,6,5.8,Female
Cachorro,Bernese Mountain Dog,6,49.1,Male
Cachorro,French Bulldog,7,10.7,Female
Cachorro,Chihuahua,12,2.3,Male
Cachorro,Miniature Schnauzer,6,7.2,Male
Cachorro,Poodle,14,21.9,Female
Cachorro,Bulldog,4,20.2,Female
Cachorro,Doberman Pinscher,14,35.0,Female
Cachorro,Poodle,4,21.8,Female
Cachorro,Cavalier King Charles Spaniel,13,5.6,Female
Cachorro,Maltese,9,4.0,Male
Cachorro,French Bulldog,4,9.9,Male
Cachorro,Poodle,13,23.6,Female
Cachorro,Basenji,12,9.9,Female
Cachorro,Weimaraner,12,26.5,Female
Cachorro,Rottweiler,10,35.8,Female
Cachorro,Maltese,12,3.1,Female
Cachorro,Chesapeake Bay Retriever,4,31.6,Female
Cachorro,Miniature Schnauzer,12,5.0,Female
Cachorro,Chesapeake Bay Retriever,12,30.2,Male
Cachorro,Chihuahua,4,2.1,Male
Cachorro,Rottweiler,7,36.8,Female
Cachorro,Rottweiler,11,45.1,Female
Cachorro,Dogo Argentino,11,36.6,Female
Cachorro,Alaskan Malamute,5,37.3,Female
Cachorro,Irish Setter,14,27.1,Female
Cachorro,Lhasa Apso,13,6.7,Female
Cachorro,Papillon,13,3.2,Male
Cachorro,Chesapeake Bay Retriever,3,35.0,Male
Cachorro,Doberman Pinscher,6,34.2,Female
Cachorro,Pekingese,13,3.4,Female
Cachorro,Siberian Husky,2,21.5,Female
Cachorro,Irish Setter,9,28.4,Female
Cachorro,Shiba Inu,10,9.5,Male
Cachorro,Akita,9,57.6,Male
Cachorro,Chinese Shar-Pei,6,25.7,Male
Cachorro,Havanese,9,4.2,Female
Cachorro,Bernese Mountain Dog,4,51.8,Male
Cachorro,Irish Setter,13,25.9,Female
Cachorro,Whippet,1,18.0,Male
Cachorro,Alaskan Malamute,7,39.0,Male
Cachorro,Papillon,4,4.2,Male
Cachorro,Belgian Malinois,2,25.0,Female
Cachorro,Irish Setter,12,25.1,Female
Cachorro,Labrador Retriever,8,31.8,Male
Cachorro,Siberian Husky,9,22.1,Male
Cachorro,Boxer,4,27.8,Male
Cachorro,Miniature Schnauzer,8,6.5,Male
Cachorro,Bulldog,12,19.6,Female
Cachorro,Rottweiler,7,44.1,Male
Cachorro,French Bulldog,8,10.3,Male
Cachorro,Lhasa Apso,10,6.4,Female
Cachorro,Siberian Husky,7,24.9,Male
Cachorro,Vizsla,10,24.8,Female
Cachorro,Papillon,14,3.6,Male
Cachorro,Samoyed,7,29.0,Male
Cachorro,Lhasa Apso,8,7.2,Male
Cachorro,Samoyed,9,17.1,Female
Cachorro,Miniature Schnauzer,14,6.8,Male
Cachorro,Chinese Shar-Pei,6,23.4,Female
Cachorro,Rottweiler,7,37.8,Female
Cachorro,Rottweiler,4,43.2,Female
Cachorro,Border Collie,8,17.2,Female
Cachorro,Rottweiler,3,43.8,Male
Cachorro,Irish Setter,12,24.1,Female
Cachorro,Pekingese,8,6.5,Male
Cachorro,French Bulldog,9,11.7,Male
Cachorro,Dachshund,3,10.5,Male
Cachorro,Boston Terrier,14,10.6,Male
Cachorro,West Highland White Terrier,4,9.7,Male
Cachorro,German Shepherd,2,34.6,Male
Cachorro,Boston Terrier,9,7.4,Female
Cachorro,Pug,12,6.4,Female
Cachorro,West Highland White Terrier,2,7.5,Male
Cachorro,Whippet,1,14.1,Female
Cachorro,Great Dane,11,53.6,Female
Cachorro,Border Collie,11,18.3,Male
Cachorro,Havanese,1,4.6,Female
Cachorro,Papillon,6,3.2,Male
Cachorro,Lhasa Apso,2,6.2,Female
Cachorro,Golden Retriever,11,26.4,Female
Cachorro,Bloodhound,6,44.0,Female
Cachorro,Boxer,1,26.2,Female
Cachorro,Golden Retriever,4,31.7,Male
Cachorro,Papillon,9,3.2,Female
Cachorro,Airedale Terrier,1,25.1,Male
Cachorro,Belgian Malinois,9,25.9,Female
Cachorro,Bernese Mountain Dog,10,48.4,Male
Cachorro,Dogo Argentino,5,42.2,Male
Cachorro,Weimaraner,14,37.6,Male
Cachorro,Border Collie,7,17.1,Female
Cachorro,Bulldog,12,19.9,Female
Cachorro,Belgian Malinois,10,24.0,Female
Cachorro,Dachshund,1,9.9,Male
Cachorro,Siberian Husky,12,21.7,Female
Cachorro,Basenji,2,10.4,Male
Cachorro,Chesapeake Bay Retriever,8,31.8,Male
Cachorro,Vizsla,3,24.1,Male
Cachorro,Bull Terrier,7,31.3,Female
Cachorro,Shiba Inu,4,8.8,Female
Cachorro,Chesapeake Bay Retriever,14,33.7,Male
Cachorro,Border Collie,5,15.6,Male
Cachorro,Saint Bernard,5,89.1,Male
Cachorro,Bernese Mountain Dog,12,41.3,Male
Cachorro,Whippet,12,12.0,Female
Cachorro,Maltese,6,3.6,Female
Cachorro,Miniature Schnauzer,1,7.4,Female
Cachorro,Boston Terrier,1,7.9,Male
Cachorro,Cavalier King Charles Spaniel,14,5.9,Female
Cachorro,Great Dane,9,82.2,Male
Cachorro,Yorkshire Terrier,12,2.7,Female
Cachorro,Miniature Schnauzer,7,7.4,Male
Cachorro,Bernese Mountain Dog,13,38.7,Female
Cachorro,Maltese,7,3.8,Male
Cachorro,Bull Terrier,11,29.6,Female
Cachorro,West Highland White Terrier,5,8.0,Female
Cachorro,Great Dane,9,61.7,Female
Cachorro,Maltese,10,3.4,Male
Cachorro,Miniature Schnauzer,13,8.8,Male
Cachorro,French Bulldog,1,10.8,Female
Cachorro,Airedale Terrier,8,27.7,Male
Cachorro,Cocker Spaniel,6,11.3,Male
Cachorro,Samoyed,7,17.9,Female
Cachorro,Labrador Retriever,4,34.2,Male
Cachorro,Dachshund,14,9.9,Male
Cachorro,French Bulldog,11,12.9,Male
Cachorro,Beagle,10,10.2,Female
Cachorro,Bichon Frise,13,6.4,Female
Cachorro,Saint Bernard,1,75.2,Female
Cachorro,Beagle,5,12.0,Male
Cachorro,Cocker Spaniel,3,12.1,Male
Cachorro,Akita,2,42.7,Female
Cachorro,Whippet,13,14.0,Female
Cachorro,Whippet,11,13.1,Female
Cachorro,Bloodhound,8,41.5,Female
Cachorro,Boston Terrier,2,10.7,Male
Cachorro,Alaskan Malamute,13,39.9,Male
Cachorro,Labrador Retriever,1,26.4,Female
Cachorro,Weimaraner,3,28.7,Female
Cachorro,Samoyed,8,19.6,Female
Cachorro,Belgian Malinois,9,25.8,Male
Cachorro,Golden Retriever,11,29.1,Male
Cachorro,Chesapeake Bay Retriever,9,33.7,Male
Cachorro,Siberian Husky,14,18.4,Female
Cachorro,Australian Shepherd,1,31.5,Male
Cachorro,Chesapeake Bay Retriever,7,30.6,Male
Cachorro,Havanese,6,4.2,Male
Cachorro,Siberian Husky,5,25.2,Male
Cachorro,Poodle,8,26.9,Female
Cachorro,Bloodhound,5,38.5,Female
Cachorro,German Shepherd,1,30.7,Male
Cachorro,Dachshund,7,8.0,Female
Cachorro,Beagle,11,10.7,Female
Cachorro,Beagle,5,10.5,Female
Cachorro,Bloodhound,7,43.3,Male
Cachorro,Bloodhound,5,41.3,Male
Cachorro,Pembroke Welsh Corgi,1,12.7,Male
Cachorro,Whippet,3,16.0,Female
Cachorro,Shetland Sheepdog,9,10.6,Male
Cachorro,Whippet,12,13.6,Female
Cachorro,Whippet,8,11.6,Female
Cachorro,Chinese Shar-Pei,9,24.2,Male
Cachorro,Golden Retriever,11,26.7,Female
Cachorro,Siberian Husky,7,25.3,Male
Cachorro,Pekingese,5,5.0,Female
Cachorro,Boxer,5,31.6,Male
Cachorro,Chinese Shar-Pei,10,25.7,Female
Cachorro,Yorkshire Terrier,9,2.8,Female
Cachorro,Poodle,5,27.4,Female
Cachorro,Papillon,12,3.3,Male
Cachorro,Dogo Argentino,13,39.4,Male
Cachorro,Alaskan Malamute,6,35.8,Female
Cachorro,German Shepherd,14,34.8,Male
Cachorro,Alaskan Malamute,4,34.6,Female
Cachorro,Australian Shepherd,5,24.8,Female
Cachorro,Siberian Husky,13,24.3,Male
Cachorro,Jack Russell Terrier,11,7.4,Male
Cachorro,Siberian Husky,13,21.0,Male
Cachorro,Shetland Sheepdog,12,7.0,Female
Cachorro,Miniature Schnauzer,3,5.4,Female
Cachorro,Bernese Mountain Dog,13,50.1,Male
Cachorro,Shih Tzu,3,5.2,Female
Cachorro,Cavalier King Charles Spaniel,14,7.5,Male
Cachorro,Great Dane,8,69.4,Male
Cachorro,Airedale Terrier,14,24.9,Male
Cachorro,Belgian Malinois,13,22.7,Female
Cachorro,Shetland Sheepdog,10,9.0,Female
Cachorro,Beagle,6,11.5,Female
Cachorro,Weimaraner,3,32.3,Male
Cachorro,Lhasa Apso,12,6.8,Female
Cachorro,Basenji,2,9.2,Female
Cachorro,Border Collie,5,16.7,Female
Cachorro,Cavalier King Charles Spaniel,5,5.2,Female
Cachorro,Poodle,2,26.3,Male
Cachorro,Australian Shepherd,9,30.4,Male
Cachorro,Vizsla,10,21.2,Female
Cachorro,Vizsla,12,26.2,Male
Cachorro,Rottweiler,13,42.3,Female
Cachorro,Schnauzer,3,15.0,Female
Cachorro,Shiba Inu,6,9.4,Female
Cachorro,Lhasa Apso,9,7.7,Male
Cachorro,Pug,3,7.8,Male
Cachorro,Shiba Inu,10,9.7,Male
Cachorro,Dachshund,5,9.8,Female
Cachorro,Siberian Husky,12,21.6,Male
Cachorro,Pekingese,10,3.6,Female
Cachorro,Labrador Retriever,7,30.0,Male
Cachorro,Pekingese,2,6.4,Male
Cachorro,Border Collie,11,16.6,Female
Cachorro,Bull Terrier,3,35.7,Male
Cachorro,Pomeranian,13,2.2,Female
Cachorro,Cocker Spaniel,7,10.8,Female
Cachorro,Poodle,3,28.3,Male
Cachorro,Weimaraner,1,35.5,Male
Cachorro,Cocker Spaniel,13,10.6,Female
Cachorro,Weimaraner,12,26.3,Female
Cachorro,Poodle,1,25.2,Male
Cachorro,Great Dane,7,72.9,Female
Cachorro,Siberian Husky,10,23.3,Male
Cachorro,Border Collie,7,19.8,Male
Cachorro,Rottweiler,14,46.4,Male
Cachorro,Cocker Spaniel,3,11.0,Female
Cachorro,Siberian Husky,4,21.3,Male
Cachorro,Bloodhound,13,43.2,Male
Cachorro,Rottweiler,3,44.2,Male
Cachorro,Papillon,1,3.4,Male
Cachorro,Pug,10,7.9,Male
Cachorro,Pekingese,7,3.7,Female
Cachorro,Labrador Retriever,2,33.2,Male
Cachorro,Havanese,11,3.9,Female
Cachorro,Australian Shepherd,5,20.2,Female
Cachorro,Dachshund,5,12.6,Male
Cachorro,French Bulldog,3,10.4,Male
Cachorro,French Bulldog,6,13.0,Male
Cachorro,Pug,11,7.1,Female
Cachorro,Lhasa Apso,3,7.5,Male
Cachorro,Boxer,14,27.1,Female
Cachorro,Boston Terrier,4,5.6,Female
Cachorro,Papillon,3,4.4,Male
Cachorro,Vizsla,4,22.2,Female
Cachorro,Lhasa Apso,9,6.1,Male
Cachorro,Doberman Pinscher,11,37.3,Male
Cachorro,Dogo Argentino,3,43.7,Male
Cachorro,Boxer,5,30.3,Male
Cachorro,Airedale Terrier,8,27.4,Male
Cachorro,Australian Shepherd,11,29.9,Male
Cachorro,Bloodhound,14,37.9,Female
Cachorro,Chihuahua,4,2.9,Male
Cachorro,Chesapeake Bay Retriever,14,32.0,Male
Cachorro,Bulldog,4,23.4,Male
Cachorro,Pug,11,6.7,Male
Cachorro,Weimaraner,4,39.9,Male
Cachorro,Rottweiler,7,48.3,Male
Cachorro,Havanese,3,4.2,Male
Cachorro,Bichon Frise,6,6.9,Male
Cachorro,Irish Setter,9,27.5,Male
Cachorro,Rottweiler,8,37.5,Female
Cachorro,Pomeranian,12,2.3,Female
Cachorro,Akita,4,48.3,Male
Cachorro,Cavalier King Charles Spaniel,4,6.8,Female
Cachorro,Pug,8,7.1,Male
Cachorro,Bichon Frise,12,7.5,Male
Cachorro,Jack Russell Terrier,3,7.3,Male
Cachorro,Jack Russell Terrier,3,6.9,Female
Cachorro,Whippet,1,14.1,Female
Cachorro,Pembroke Welsh Corgi,8,11.2,Female
Cachorro,Havanese,11,5.9,Male
Cachorro,Chihuahua,14,1.8,Female
Cachorro,Bull Terrier,12,23.8,Female
Cachorro,Cavalier King Charles Spaniel,1,6.3,Female
Cachorro,Border Collie,10,16.4,Female
Cachorro,Akita,6,42.2,Male
Cachorro,Doberman Pinscher,5,32.3,Female
Cachorro,Saint Bernard,9,75.3,Female
Cachorro,Rottweiler,7,47.2,Female
Cachorro,Samoyed,5,25.0,Female
Cachorro,Lhasa Apso,12,7.1,Male
Cachorro,Vizsla,2,27.8,Male
Cachorro,Bulldog,7,19.4,Female
Cachorro,Dogo Argentino,13,44.7,Male
Cachorro,Shih Tzu,6,4.8,Female
Cachorro,Vizsla,9,28.3,Male
Cachorro,Cocker Spaniel,11,12.4,Male
Cachorro,Alaskan Malamute,8,37.3,Female
Cachorro,Yorkshire Terrier,14,2.6,Female
Cachorro,Shiba Inu,5,9.0,Female
Cachorro,Doberman Pinscher,3,37.6,Female
Cachorro,Poodle,13,27.5,Male
Cachorro,Weimaraner,12,31.3,Female
Cachorro,German Shepherd,3,26.0,Female
Cachorro,Pekingese,10,5.2,Male
Cachorro,Poodle,14,27.6,Male
Cachorro,Pug,1,6.9,Male
Cachorro,Bloodhound,2,36.8,Female
Cachorro,Basenji,13,9.9,Female
Cachorro,Pomeranian,5,3.1,Male
Cachorro,Cavalier King Charles Spaniel,10,7.3,Male
Cachorro,Cocker Spaniel,5,11.0,Male
Cachorro,Bulldog,4,19.5,Female
Cachorro,Boston Terrier,1,5.8,Female
Cachorro,West Highland White Terrier,6,9.4,Male
Cachorro,Dachshund,12,14.3,Male
Cachorro,French Bulldog,11,8.8,Female
Cachorro,Pomeranian,9,2.4,Female
Cachorro,Vizsla,9,20.8,Female
Cachorro,Pekingese,13,4.9,Male
Cachorro,Belgian Malinois,14,25.9,Male
Cachorro,Basenji,8,10.1,Male
Cachorro,Doberman Pinscher,3,41.2,Male
Cachorro,Chinese Shar-Pei,6,25.1,Female
Cachorro,Basenji,2,10.0,Male
Cachorro,West Highland White Terrier,6,7.4,Female
Cachorro,Cavalier King Charles Spaniel,3,7.4,Male
Cachorro,Pekingese,2,5.2,Female
Cachorro,Chesapeake Bay Retriever,14,29.4,Female
Cachorro,Cavalier King Charles Spaniel,14,6.5,Male
Cachorro,Irish Setter,3,30.1,Male
Cachorro,Vizsla,11,22.1,Female
Cachorro,Maltese,10,4.0,Male
Cachorro,Pug,7,6.5,Female
Cachorro,Saint Bernard,12,82.8,Male
Cachorro,Bull Terrier,8,22.2,Female
Cachorro,Pekingese,13,5.1,Male
Cachorro,German Shepherd,14,38.5,Male
Cachorro,Havanese,5,4.2,Female
Cachorro,Yorkshire Terrier,7,2.8,Male
Cachorro,Labrador Retriever,13,31.7,Female
Cachorro,Havanese,2,4.7,Female
Cachorro,Vizsla,6,25.6,Male
Cachorro,Jack Russell Terrier,8,6.7,Female
Cachorro,Border Collie,6,17.3,Male
Cachorro,Bernese Mountain Dog,5,40.2,Female
Cachorro,Bernese Mountain Dog,14,36.3,Female
Cachorro,Beagle,14,9.8,Female
Cachorro,Maltese,9,3.9,Male
Cachorro,Australian Shepherd,3,25.6,Female
Cachorro,Vizsla,10,25.5,Female
Cachorro,Belgian Malinois,7,35.7,Male
Cachorro,Doberman Pinscher,2,35.7,Female
Cachorro,Pug,9,7.0,Female
Cachorro,Lhasa Apso,11,7.5,Male
Cachorro,Alaskan Malamute,8,40.0,Male
Cachorro,Irish Setter,13,26.4,Female
Cachorro,Poodle,10,21.9,Female
Cachorro,Cocker Spaniel,2,11.3,Female
Cachorro,Jack Russell Terrier,2,6.4,Female
Cachorro,Pomeranian,2,2.5,Male
Cachorro,Samoyed,10,21.3,Female
Cachorro,Pembroke Welsh Corgi,8,12.5,Male
Cachorro,Pembroke Welsh Corgi,10,12.0,Male
Cachorro,Chesapeake Bay Retriever,9,34.7,Male
Cachorro,Rottweiler,10,49.0,Female
Cachorro,Border Collie,4,12.9,Female
Cachorro,Lhasa Apso,11,5.0,Female
Cachorro,Rottweiler,11,40.5,Female
Cachorro,Jack Russell Terrier,14,7.0,Female
Cachorro,Shiba Inu,13,9.6,Female
Cachorro,Weimaraner,6,31.6,Male
Cachorro,Miniature Schnauzer,2,7.0,Female
Cachorro,Havanese,14,3.2,Female
Cachorro,Shetland Sheepdog,2,9.6,Male
Cachorro,Golden Retriever,1,34.0,Male
Cachorro,Yorkshire Terrier,12,2.2,Female
Cachorro,Dachshund,8,7.8,Female
Cachorro,Poodle,7,23.3,Female
Cachorro,Bloodhound,3,41.6,Female
Cachorro,Bloodhound,11,44.5,Female
Cachorro,Weimaraner,7,39.8,Male
Cachorro,German Shepherd,5,29.1,Male
Cachorro,Dogo Argentino,2,39.4,Male
Cachorro,Weimaraner,1,32.7,Female
Cachorro,Poodle,13,26.3,Male
Cachorro,Poodle,5,26.9,Female
Cachorro,Bloodhound,5,46.9,Male
Cachorro,Saint Bernard,8,69.8,Male
Cachorro,Maltese,1,3.9,Male
Cachorro,Rottweiler,1,46.6,Male
Cachorro,Australian Shepherd,8,20.4,Female
Cachorro,Boston Terrier,10,9.3,Male
Cachorro,Whippet,1,16.4,Male
Cachorro,Boxer,13,28.1,Female
Cachorro,Bulldog,7,23.4,Male
Cachorro,Rottweiler,10,59.9,Male
Cachorro,Maltese,5,3.6,Female
Cachorro,Cavalier King Charles Spaniel,7,6.0,Female
Cachorro,Golden Retriever,13,28.7,Male
Cachorro,Cocker Spaniel,11,13.5,Male
Cachorro,French Bulldog,8,11.2,Female
Cachorro,Shih Tzu,7,5.8,Male
Cachorro,Pembroke Welsh Corgi,7,12.6,Male
Cachorro,Shih Tzu,7,6.0,Male
Cachorro,Weimaraner,1,30.8,Male
Cachorro,Doberman Pinscher,8,34.9,Female
Cachorro,Border Collie,6,13.8,Female
Cachorro,Beagle,3,13.3,Male
Cachorro,Jack Russell Terrier,3,7.8,Male
Cachorro,Akita,14,55.9,Male
Cachorro,Shetland Sheepdog,5,9.7,Male
Cachorro,Boston Terrier,14,6.3,Female
Cachorro,West Highland White Terrier,1,9.3,Male
Cachorro,Doberman Pinscher,5,36.4,Female
Cachorro,Vizsla,8,23.2,Female
Cachorro,Bernese Mountain Dog,4,50.6,Male
Cachorro,Papillon,13,2.7,Female
Cachorro,Shetland Sheepdog,13,11.5,Male
Cachorro,Weimaraner,9,25.9,Female
Cachorro,Bulldog,7,21.1,Male
Cachorro,Jack Russell Terrier,7,7.4,Male
Cachorro,Akita,13,42.6,Male
Cachorro,Pembroke Welsh Corgi,6,10.1,Female
Cachorro,Akita,13,32.0,Female
Cachorro,Chesapeake Bay Retriever,3,32.0,Male
Cachorro,Cocker Spaniel,7,13.7,Male
Cachorro,Lhasa Apso,7,5.1,Female
Cachorro,Pembroke Welsh Corgi,6,13.1,Male
Cachorro,Chesapeake Bay Retriever,13,30.9,Female
Cachorro,Bernese Mountain Dog,1,34.2,Female
Cachorro,Chesapeake Bay Retriever,3,26.1,Female
Cachorro,Schnauzer,14,17.4,Female
Cachorro,Samoyed,2,28.4,Male
Cachorro,Beagle,7,12.5,Male
Cachorro,Bernese Mountain Dog,14,42.6,Female
Cachorro,Maltese,2,3.4,Male
Cachorro,Samoyed,5,24.5,Male
Cachorro,Bloodhound,3,42.7,Female
Cachorro,Chinese Shar-Pei,12,24.2,Male
Cachorro,Pug,14,7.0,Female
Cachorro,Havanese,2,4.0,Female
Cachorro,Border Collie,6,15.9,Female
Cachorro,French Bulldog,3,9.5,Female
Cachorro,Border Collie,14,13.9,Female
Cachorro,Irish Setter,2,25.1,Female
Cachorro,Pekingese,6,4.7,Male
Cachorro,Golden Retriever,3,29.4,Female
Cachorro,Poodle,7,25.1,Male
Cachorro,Rottweiler,13,45.1,Male
Cachorro,Australian Shepherd,7,23.4,Male
Cachorro,Chihuahua,11,2.2,Male
Cachorro,Saint Bernard,3,86.0,Male
Cachorro,Papillon,1,3.0,Female
Cachorro,Bull Terrier,5,37.9,Male
Cachorro,Rottweiler,6,37.2,Female
Cachorro,Chinese Shar-Pei,8,23.1,Female
Cachorro,Bloodhound,4,40.1,Female
Cachorro,Chinese Shar-Pei,7,21.1,Female
Cachorro,Pekingese,6,5.0,Female
Cachorro,Rottweiler,6,50.9,Female
Cachorro,Pembroke Welsh Corgi,10,13.7,Male
Cachorro,French Bulldog,11,10.4,Male
Cachorro,Shih Tzu,3,4.5,Female
Cachorro,Maltese,13,3.8,Male
Cachorro,Bulldog,1,21.8,Male
Cachorro,Dogo Argentino,6,43.3,Male
Cachorro,Chinese Shar-Pei,2,26.6,Male
Cachorro,Pomeranian,4,2.9,Male
Cachorro,Pekingese,11,4.9,Female
Cachorro,Bloodhound,1,42.5,Female
Cachorro,Pembroke Welsh Corgi,8,10.1,Female
Cachorro,Chihuahua,2,2.1,Male
Cachorro,Miniature Schnauzer,10,8.0,Male
Cachorro,Bernese Mountain Dog,4,38.3,Female
Cachorro,Airedale Terrier,13,20.7,Female
Cachorro,French Bulldog,7,9.4,Female
Cachorro,Vizsla,6,28.4,Male
Cachorro,Rottweiler,7,57.2,Male
Cachorro,Pekingese,10,4.3,Female
Cachorro,Chihuahua,7,2.4,Male
Cachorro,Pembroke Welsh Corgi,2,10.7,Female
Cachorro,Boxer,14,29.8,Male
Cachorro,Pembroke Welsh Corgi,12,12.2,Male
Cachorro,Pug,6,7.4,Male
